Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Mar 13 19:03 2020
start
Time|reset|load_in|CDB_PRF_idx[1]|CDB_valid|opa_in|opa_valid_in|opb_in|opb_valid_in|inst_out_valid|opa_out[0]|opb_out[0]|num_is_free|is_free_hub|ready_hub
   0  x    x        xx         xxx   xxxxxxxx     x     xxxxxxxx     x           000    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx
 285  0    1        0b         111   f33466e6     1     155a1d2a     1           111    c550168a   ffffffff      4    0000000011110000    1111111100001111
 290  0    1        0b         000   00000007     0     00000004     0           111    c550168a   ffffffff      4    0000000011110000    1111111100001111
 295  0    1        0b         000   00000007     0     00000004     0           111    c550168a   ffffffff      4    1100000000100001    0011111100001110
 300  0    1        07         111   3fbb3b7f     1     00000004     0           111    c550168a   ffffffff      4    1100000000100001    0011111100001110
 305  0    1        07         111   3fbb3b7f     1     00000004     0           111    070bb90e   152fb52a      4    0011000000100010    0000111100001100
 310  0    1        07         000   3fbb3b7f     1     00000004     0           111    070bb90e   152fb52a      4    0011000000100010    0000111100001100
 315  0    1        07         000   3fbb3b7f     1     00000004     0           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 320  0    1        04         111   dece5ebd     1     6543cfca     1           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 325  0    1        04         111   dece5ebd     1     6543cfca     1           111    da269ab4   ffffffff      4    0000001100101000    1111110011010111
 330  0    1        04         000   00000035     0     00000008     0           111    da269ab4   ffffffff      4    0000001100101000    1111110011010111
 335  0    1        04         000   00000035     0     00000008     0           111    da269ab4   ffffffff      4    1100000000100001    0011110011010110
 340  0    1        35         111   1444df28     1     00000008     0           111    da269ab4   ffffffff      4    1100000000100001    0011110011010110
 345  0    1        35         111   1444df28     1     00000008     0           111    19452132   f249a4e4      4    0011000000100010    0000110011010100
 350  0    1        35         000   1444df28     1     00000008     0           111    19452132   f249a4e4      4    0011000000100010    0000110011010100
 355  0    1        35         000   1444df28     1     00000008     0           111    00000000   ffffffff      4    0000110000100100    0000000011010000
 360  0    1        08         111   06b3050d     1     68ae1bd1     1           111    00000000   ffffffff      4    0000110000100100    0000000011010000
 365  0    1        08         111   06b3050d     1     68ae1bd1     1           111    493e4592   ffffffff      4    0000000011110000    1111111100001111
 370  0    1        08         000   00000004     0     00000012     0           111    493e4592   ffffffff      4    0000000011110000    1111111100001111
 375  0    1        08         000   00000004     0     00000012     0           111    493e4592   ffffffff      4    1100000000100001    0011111100001110
 380  0    1        04         111   d0c5dca1     1     00000012     0           111    493e4592   ffffffff      4    1100000000100001    0011111100001110
 385  0    1        04         111   d0c5dca1     1     00000012     0           111    8f1cf61e   0c039d18      4    0011000000100010    0000111100001100
 390  0    1        04         000   d0c5dca1     1     00000012     0           111    8f1cf61e   0c039d18      4    0011000000100010    0000111100001100
 395  0    1        04         000   d0c5dca1     1     00000012     0           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 400  0    1        12         111   50d5f9a1     1     2c2d2358     1           111    00000000   ffffffff      4    0000110000100100    0000001100001000
 405  0    1        12         111   50d5f9a1     1     2c2d2358     1           111    f287b6e5   00000000      4    0000001100101000    1111110011010111
 410  0    1        12         000   00000035     0     00000004     0           111    f287b6e5   00000000      4    0000001100101000    1111110011010111
 415  0    1        12         000   00000035     0     00000004     0           111    f287b6e5   00000000      4    1100000000100001    0011110011010110
 420  0    1        35         111   a4da5649     1     00000004     0           111    f287b6e5   00000000      4    1100000000100001    0011110011010110
 425  0    1        35         111   a4da5649     1     00000004     0           111    13b55527   82223a04      4    0011000000100010    0000110011010100
 430  0    1        35         000   a4da5649     1     00000004     0           111    13b55527   82223a04      4    0011000000100010    0000110011010100
 435  0    1        35         000   a4da5649     1     00000004     0           111    00000000   00000000      4    0000110000100100    0000000011010000
 440  0    1        04         111   1546dd2a     1     41a10583     1           111    00000000   00000000      4    0000110000100100    0000000011010000
 445  0    1        04         111   1546dd2a     1     41a10583     1           111    dcef90b9   00000000      4    0000000011110000    1111111100001111
 450  0    1        04         000   00000000     0     00000005     0           111    dcef90b9   00000000      4    0000000011110000    1111111100001111
 455  0    1        04         000   00000000     0     00000005     0           111    dcef90b9   00000000      4    1100000000100001    0011111100001110
