Chronologic VCS simulator copyright 1991-2017
Contains Synopsys proprietary information.
Compiler version N-2017.12-SP2-1_Full64; Runtime version N-2017.12-SP2-1_Full64;  Mar 15 15:50 2020
start
Time|reset|load_in|CDB_PRF_idx|CDB_valid|opa_in|opa_valid_in|opb_in|opb_valid_in|opa_out|opb_out|num_is_free|is_free_hub|ready_hub|reset_hub
   0  x    x      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    xxxxxxxx   xxxxxxxx      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     xxxxxxxxxxxxxxxx
  10  1    0      xx        xxx   xxxxxxxx     x     xxxxxxxx     x    00000000   00000000      x    xxxxxxxxxxxxxxxx    xxxxxxxxxxxxxxxx     1111111111111111
 250  0    1      33        010   ed3408da     1     b855c470     1    147cd928   975c9c2e     13    0011111111111110    1100000000000001     1100000000000001
 256  0    1      33        010   ed3408da     1     b855c470     1    43356786   334ea766     13    0011111111111110    1100000000000001     1100000000000001
 260  0    1      00        010   8d24f61a     1     4b273796     1    43356786   334ea766     13    0011111111111110    1100000000000001     1100000000000001
 266  0    1      00        010   8d24f61a     1     4b273796     1    6a8e05d5   1b876137     13    0011111111111110    1100000000000001     1100000000000001
 270  0    1      0f        010   43615786     1     ed8d80db     1    6a8e05d5   1b876137     13    0011111111111110    1100000000000001     1100000000000001
 276  0    1      0f        010   43615786     1     ed8d80db     1    6e5f0fdc   3f5a9b7e     13    0011111111111110    1100000000000001     1100000000000001
 280  0    1      35        010   d0f578a1     1     7a8c59f5     1    6e5f0fdc   3f5a9b7e     13    0011111111111110    1100000000000001     1100000000000001
 286  0    1      35        010   d0f578a1     1     7a8c59f5     1    0b940917   a8639650     13    0011111111111110    1100000000000001     1100000000000001
 290  0    1      0e        010   25b27b4b     1     c550168a     1    0b940917   a8639650     13    0011111111111110    1100000000000001     1100000000000001
 296  0    1      0e        010   25b27b4b     1     c550168a     1    cc01b498   f622e6ec     13    0011111111111110    1100000000000001     1100000000000001
 300  0    1      0d        010   f33466e6     1     155a1d2a     1    cc01b498   f622e6ec     13    0011111111111110    1100000000000001     1100000000000001
 306  0    1      0d        010   f33466e6     1     155a1d2a     1    070bb90e   152fb52a     13    0011111111111110    1100000000000001     1100000000000001
 310  0    1      36        010   652345ca     1     e3b7aec7     1    070bb90e   152fb52a     13    0011111111111110    1100000000000001     1100000000000001
 316  0    1      36        010   652345ca     1     e3b7aec7     1    6464e3c8   35a0c96b     13    0011111111111110    1100000000000001     1100000000000001
